,election_date,election_type,harmonised_code,harmonised_name,type,name,votes
0,1996_04_21,camera,ITC11,torino,0,eligible_voters,1894533.0
1,1996_04_21,camera,ITC11,torino,1,issued_ballots,1629628.0
2,1996_04_21,camera,ITC11,torino,2,an,196449.0
3,1996_04_21,camera,ITC11,torino,2,ccd_cdu,58533.0
4,1996_04_21,camera,ITC11,torino,2,verdi,37185.0
5,1996_04_21,camera,ITC11,torino,2,fi,292755.0
6,1996_04_21,camera,ITC11,torino,2,lega,210730.0
7,1996_04_21,camera,ITC11,torino,2,ne,5455.0
8,1996_04_21,camera,ITC11,torino,2,psg,37606.0
9,1996_04_21,camera,ITC11,torino,2,pf,3747.0
10,1996_04_21,camera,ITC11,torino,2,pln,3.0
11,1996_04_21,camera,ITC11,torino,2,pu,2930.0
12,1996_04_21,camera,ITC11,torino,2,pds,288648.0
13,1996_04_21,camera,ITC11,torino,2,pop,80120.0
14,1996_04_21,camera,ITC11,torino,2,rc,195053.0
15,1996_04_21,camera,ITC11,torino,2,rid,88094.0
16,1996_04_21,camera,ITC11,torino,2,ps,6875.0
17,1996_04_21,camera,ITC11,torino,2,ufst,3.0
18,1996_04_21,camera,ITC11,torino,2,verdi,25738.0
19,1996_04_21,camera,ITC12,vercelli,0,eligible_voters,156505.0
20,1996_04_21,camera,ITC12,vercelli,1,issued_ballots,137133.0
21,1996_04_21,camera,ITC12,vercelli,2,an,16173.0
22,1996_04_21,camera,ITC12,vercelli,2,ccd_cdu,4003.0
23,1996_04_21,camera,ITC12,vercelli,2,verdi,3030.0
24,1996_04_21,camera,ITC12,vercelli,2,fi,34538.0
25,1996_04_21,camera,ITC12,vercelli,2,lega,24273.0
26,1996_04_21,camera,ITC12,vercelli,2,mp,782.0
27,1996_04_21,camera,ITC12,vercelli,2,psg,3068.0
28,1996_04_21,camera,ITC12,vercelli,2,pds,21146.0
29,1996_04_21,camera,ITC12,vercelli,2,pop,9211.0
30,1996_04_21,camera,ITC12,vercelli,2,rc,10408.0
31,1996_04_21,camera,ITC13,biella,0,eligible_voters,149318.0
32,1996_04_21,camera,ITC13,biella,1,issued_ballots,131382.0
33,1996_04_21,camera,ITC13,biella,2,an,14002.0
34,1996_04_21,camera,ITC13,biella,2,ccd_cdu,3881.0
35,1996_04_21,camera,ITC13,biella,2,verdi,3149.0
36,1996_04_21,camera,ITC13,biella,2,fi,30346.0
37,1996_04_21,camera,ITC13,biella,2,lega,27864.0
38,1996_04_21,camera,ITC13,biella,2,mp,891.0
39,1996_04_21,camera,ITC13,biella,2,psg,3696.0
40,1996_04_21,camera,ITC13,biella,2,pds,19736.0
41,1996_04_21,camera,ITC13,biella,2,pop,9341.0
42,1996_04_21,camera,ITC13,biella,2,rc,9026.0
43,1996_04_21,camera,ITC14,verbanocusioossola,0,eligible_voters,142945.0
44,1996_04_21,camera,ITC14,verbanocusioossola,1,issued_ballots,119533.0
45,1996_04_21,camera,ITC14,verbanocusioossola,2,an,23247.0
46,1996_04_21,camera,ITC14,verbanocusioossola,2,ccd_cdu,3928.0
47,1996_04_21,camera,ITC14,verbanocusioossola,2,verdi,2557.0
48,1996_04_21,camera,ITC14,verbanocusioossola,2,fi,21259.0
49,1996_04_21,camera,ITC14,verbanocusioossola,2,lega,24436.0
50,1996_04_21,camera,ITC14,verbanocusioossola,2,mp,1367.0
51,1996_04_21,camera,ITC14,verbanocusioossola,2,psg,2015.0
52,1996_04_21,camera,ITC14,verbanocusioossola,2,pds,17142.0
53,1996_04_21,camera,ITC14,verbanocusioossola,2,pop,7237.0
54,1996_04_21,camera,ITC14,verbanocusioossola,2,rc,8911.0
55,1996_04_21,camera,ITC15,novara,0,eligible_voters,284914.0
56,1996_04_21,camera,ITC15,novara,1,issued_ballots,253086.0
57,1996_04_21,camera,ITC15,novara,2,an,30690.0
58,1996_04_21,camera,ITC15,novara,2,ccd_cdu,8969.0
59,1996_04_21,camera,ITC15,novara,2,verdi,6435.0
60,1996_04_21,camera,ITC15,novara,2,fi,60290.0
61,1996_04_21,camera,ITC15,novara,2,lega,42119.0
62,1996_04_21,camera,ITC15,novara,2,mp,1495.0
63,1996_04_21,camera,ITC15,novara,2,psg,6443.0
64,1996_04_21,camera,ITC15,novara,2,pds,34957.0
65,1996_04_21,camera,ITC15,novara,2,pop,25221.0
66,1996_04_21,camera,ITC15,novara,2,rc,19434.0
67,1996_04_21,camera,ITC16,cuneo,0,eligible_voters,463235.0
68,1996_04_21,camera,ITC16,cuneo,1,issued_ballots,399304.0
69,1996_04_21,camera,ITC16,cuneo,2,an,23534.0
70,1996_04_21,camera,ITC16,cuneo,2,ccd_cdu,29733.0
71,1996_04_21,camera,ITC16,cuneo,2,verdi,9086.0
72,1996_04_21,camera,ITC16,cuneo,2,fi,92178.0
73,1996_04_21,camera,ITC16,cuneo,2,lega,119211.0
74,1996_04_21,camera,ITC16,cuneo,2,mp,1653.0
75,1996_04_21,camera,ITC16,cuneo,2,psg,6776.0
76,1996_04_21,camera,ITC16,cuneo,2,pds,35174.0
77,1996_04_21,camera,ITC16,cuneo,2,pop,32431.0
78,1996_04_21,camera,ITC16,cuneo,2,rc,16783.0
79,1996_04_21,camera,ITC17,asti,0,eligible_voters,174232.0
80,1996_04_21,camera,ITC17,asti,1,issued_ballots,146913.0
81,1996_04_21,camera,ITC17,asti,2,an,15023.0
82,1996_04_21,camera,ITC17,asti,2,ccd_cdu,7327.0
